bigram,frequency,word1,word2,word1_freq,word2_freq
"('any', 'conſideration')",0.00013883104262113008,any,conſideration,0.005136035535813437,0.000277623542476402
"('ſpecial', 'seaſon')",0.00013883104262113008,ſpecial,seaſon,0.000832870627429206,0.000138811771238201
"('is', 'not')",0.001804803554074691,is,not,0.019850083287062743,0.006801776790671849
"('covenant', 'and')",0.00013883104262113008,covenant,and,0.000694058856191005,0.04525263742365353
"('the', 'blood')",0.00013883104262113008,the,blood,0.057884508606329814,0.000138811771238201
"('portugal', 'i')",0.00013883104262113008,portugal,i,0.000138811771238201,0.003331482509716824
"('any', 'other')",0.0013883104262113009,any,other,0.005136035535813437,0.003192670738478623
"('altogether', 'deny')",0.00013883104262113008,altogether,deny,0.000138811771238201,0.000555247084952804
"('be', 'oppoſites')",0.00013883104262113008,be,oppoſites,0.019988895058300944,0.000138811771238201
"('deluſion', 'of')",0.00013883104262113008,deluſion,of,0.000138811771238201,0.04094947251526929
"('certain', 'that')",0.00013883104262113008,certain,that,0.000555247084952804,0.02373681288173237
"('appoint', 'other')",0.00013883104262113008,appoint,other,0.000277623542476402,0.003192670738478623
"('the', 'thing')",0.0005553241704845203,the,thing,0.057884508606329814,0.000832870627429206
"('creature', 'and')",0.00013883104262113008,creature,and,0.000277623542476402,0.04525263742365353
"('poſitive', 'inſtitution')",0.00013883104262113008,poſitive,inſtitution,0.000138811771238201,0.000694058856191005
"('under', 'the')",0.0011106483409690406,under,the,0.001110494169905608,0.057884508606329814
"('ſhall', 'grow')",0.00013883104262113008,ſhall,grow,0.004025541365907829,0.000138811771238201
"('fanat', 'of')",0.00013883104262113008,fanat,of,0.000138811771238201,0.04094947251526929
"('a', 'more')",0.0005553241704845203,a,more,0.018184342032204332,0.00277623542476402
"('ſo', 'doing')",0.00013883104262113008,ſo,doing,0.004858411993337035,0.000138811771238201
"('welfare', 'and')",0.00013883104262113008,welfare,and,0.000138811771238201,0.04525263742365353
"('make', 'it')",0.00013883104262113008,make,it,0.000416435313714603,0.02345918933925597
"('v', 'lud')",0.00013883104262113008,v,lud,0.000555247084952804,0.000138811771238201
"('any', 'time')",0.00027766208524226016,any,time,0.005136035535813437,0.001804553026096613
